Clothing_Barcode,Clothing_Category,LocationID,Selling_Price,Clothing_Type,Clothing_Description,Clothing_Brand,Clothing_Size,Clothing_Color,Clothing_Gender,Clothing_Condition
682,1,1,28,Jacket,High Heels Red,Vanity,6,Red,Female,Poor
683,5,1,37,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Great
684,1,3,26,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
685,3,3,55,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Great
686,3,2,34,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Fair
687,6,3,61,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
688,6,3,54,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Great
689,5,2,23,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Good
690,6,1,34,Pants,Short shorts jene style,Levy,29,Blue,Female,Poor
691,5,2,59,Jacket,Small brown phish shirt - 2002,Concert,S,Brown,Male,Good
692,6,1,25,Vest,light purple flowery dress,Lulus,4,Purple,Female,Good
693,5,1,40,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
694,5,3,46,Sweatshirt,classic jenes,Levy,34,Blue,Male,Poor
695,1,1,36,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Great
696,2,1,67,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Good
697,6,2,30,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Fair
698,6,2,26,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Great
699,5,3,33,Pants,Puffy winter coat,Volcom,L,Red,Male,Poor
700,2,1,62,Jacket,classic vans,Vans,11,Red,Male,Good
701,1,3,66,Vest,classic vans,Vans,10,Black,Male,Fair
702,4,1,42,Shoes,stomper boots,black,8,Black,Female,Good
703,4,2,63,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
704,6,3,58,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Good
705,4,1,32,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Poor
706,1,3,16,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Great
707,3,3,53,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Good
708,2,2,21,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
709,6,2,33,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Great
710,4,3,64,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Poor
711,3,1,67,Shoes,Old cowboy boots,Tough,13,Brown,Male,Good
712,4,3,47,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Fair
713,1,1,46,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Good
714,2,3,48,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
715,4,1,38,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Good
716,1,2,44,Dress,Carhart logo hat,Carhart,M,Brown,Female,Great
717,2,2,28,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
718,1,2,17,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Poor
719,6,1,37,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Great
720,5,1,16,Shoes,Short shorts jene style,Levy,29,Blue,Female,Good
721,1,2,22,Sweatshirt,Small brown phish shirt - 2003,Concert,S,Brown,Male,Fair
722,5,2,59,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Great
723,1,2,21,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Poor
724,2,2,21,Shirt,classic jenes,Levy,34,Blue,Male,Good
725,2,2,41,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Fair
726,4,2,46,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Good
727,6,3,69,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
728,6,2,19,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Good
729,5,1,17,Shoes,Puffy winter coat,Volcom,L,Red,Male,Great
730,4,1,38,Sweatshirt,classic vans,Vans,11,Red,Male,Poor
731,1,2,20,Shorts,classic vans,Vans,10,Black,Male,Great
732,3,3,34,Hat,stomper boots,black,8,Black,Female,Good
733,6,3,46,Shirt,light twirly dress,Free People,4,Pink,Female,Fair
734,4,2,63,Dress,Classic jene jacket,Levy,L,Blue,Female,Great
735,2,1,30,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Poor
736,3,2,49,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
737,2,3,67,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
738,4,1,60,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Good
739,1,1,31,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
740,4,2,55,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Good
741,3,3,44,Hat,Old cowboy boots,Tough,13,Brown,Male,Great
742,2,1,52,Shirt,High Heels Red,Vanity,6,Red,Female,Good
743,6,1,39,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Fair
744,4,3,60,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
745,6,1,18,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
746,5,3,24,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Fair
747,6,1,21,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Fair
748,1,2,58,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Poor
749,4,1,25,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Great
750,1,1,53,Hat,Short shorts jene style,Levy,29,Blue,Female,Good
751,5,3,42,Shirt,Small brown phish shirt - 2003,Concert,S,Brown,Male,Great
752,4,2,16,Dress,light purple flowery dress,Lulus,4,Purple,Female,Poor
753,3,1,66,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
754,2,2,50,Jacket,classic jenes,Levy,34,Blue,Male,Good
755,4,3,70,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Fair
756,2,1,58,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Great
757,3,2,27,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Poor
758,6,1,41,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Good
759,2,3,63,Hat,Puffy winter coat,Volcom,L,Red,Male,Fair
760,5,2,53,Shirt,classic vans,Vans,11,Red,Male,Good
761,5,1,37,Dress,classic vans,Vans,10,Black,Female,Good
762,5,2,18,Pants,stomper boots,black,8,Black,Female,Good
763,6,1,57,Jacket,light twirly dress,Free People,4,Pink,Female,Great
764,5,2,50,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Good
765,5,1,67,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Fair
766,5,1,54,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Fair
767,1,1,24,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Poor
768,5,2,70,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
769,5,1,21,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Fair
770,2,2,45,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Poor
771,4,1,30,Pants,Old cowboy boots,Tough,13,Brown,Male,Great
772,2,3,47,Jacket,High Heels Red,Vanity,6,Red,Female,Good
773,1,1,53,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Great
774,6,2,70,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
775,6,1,52,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Good
776,3,2,47,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Great
777,6,3,65,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
778,5,1,60,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Poor
779,2,3,30,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Good
780,3,1,68,Pants,Short shorts jene style,Levy,29,Blue,Female,Good
781,1,3,50,Jacket,Small brown phish shirt - 2003,Concert,S,Brown,Male,Great
782,5,1,64,Vest,light purple flowery dress,Lulus,4,Purple,Female,Poor
783,6,2,25,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Great
784,3,3,27,Sweatshirt,classic jenes,Levy,34,Blue,Male,Good
785,1,1,58,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Fair
786,6,1,27,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Great
787,2,3,42,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Poor
788,4,2,68,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Great
789,2,1,52,Pants,Puffy winter coat,Volcom,L,Red,Male,Good
790,5,1,70,Jacket,classic vans,Vans,11,Red,Male,Fair
791,1,1,48,Vest,classic vans,Vans,10,Black,Male,Great
792,2,2,36,Shoes,stomper boots,black,8,Black,Female,Poor
793,2,3,59,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
794,6,1,32,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Fair
795,4,1,34,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Good
796,5,3,60,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
797,4,2,40,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Good
798,1,3,69,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Great
799,6,1,17,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
800,5,1,25,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
801,6,3,45,Shoes,Old cowboy boots,Tough,13,Brown,Male,Fair
802,2,1,61,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Poor
803,3,1,35,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Fair
804,5,3,26,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
805,4,1,29,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
806,3,3,45,Dress,Carhart logo hat,Carhart,M,Brown,Female,Great
807,2,2,23,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
808,4,1,43,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Great
809,4,3,54,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Fair
810,5,2,58,Shoes,Short shorts jene style,Levy,29,Blue,Female,Good
811,6,3,51,Sweatshirt,Small brown phish shirt - 2003,Concert,S,Brown,Male,Great
812,1,1,63,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Good
813,5,2,70,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Poor
814,4,1,60,Shirt,classic jenes,Levy,34,Blue,Male,Good
815,2,1,45,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Good
816,6,3,51,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Great
817,3,3,19,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Poor
818,4,1,26,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Great
819,2,2,57,Shoes,Puffy winter coat,Volcom,L,Red,Male,Good
820,6,2,42,Sweatshirt,classic vans,Vans,11,Red,Male,Fair
821,4,1,29,Shorts,classic vans,Vans,10,Black,Male,Great
822,2,3,58,Hat,stomper boots,black,8,Black,Female,Poor
823,2,3,19,Shirt,light twirly dress,Free People,4,Pink,Female,Good
824,6,3,62,Dress,Classic jene jacket,Levy,L,Blue,Female,Fair
825,6,1,19,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Good
826,3,2,41,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
827,5,3,33,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Good
828,6,2,33,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Great
829,6,2,49,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
830,6,2,42,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
831,1,1,60,Hat,Old cowboy boots,Tough,13,Brown,Male,Fair
832,5,3,55,Shirt,High Heels Red,Vanity,6,Red,Female,Poor
833,4,2,24,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Fair
834,4,2,43,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
835,1,2,49,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
836,4,3,15,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Great
837,5,2,35,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
838,5,1,68,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Great
839,3,1,38,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Fair
840,1,2,59,Hat,Short shorts jene style,Levy,29,Blue,Female,Good
841,5,2,37,Shirt,Small brown phish shirt - 2004,Concert,S,Brown,Male,Great
842,5,3,32,Dress,light purple flowery dress,Lulus,4,Purple,Female,Good
843,3,3,61,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Poor
844,2,1,57,Jacket,classic jenes,Levy,34,Blue,Male,Good
845,2,3,23,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Good
846,1,2,31,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Great
847,6,2,60,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Poor
848,4,1,67,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Great
849,5,1,29,Hat,Puffy winter coat,Volcom,L,Red,Male,Good
850,5,3,47,Shirt,classic vans,Vans,11,Red,Male,Fair
851,4,3,21,Dress,classic vans,Vans,10,Black,Female,Great
852,3,2,48,Pants,stomper boots,black,8,Black,Female,Poor
853,6,1,56,Jacket,light twirly dress,Free People,4,Pink,Female,Good
854,6,1,20,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Fair
855,4,3,19,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Good
856,6,1,67,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
857,3,3,44,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Good
858,5,2,22,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Great
859,2,1,37,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
860,3,3,33,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
861,6,2,40,Pants,Old cowboy boots,Tough,13,Brown,Male,Fair
862,6,1,65,Jacket,High Heels Red,Vanity,6,Red,Female,Poor
863,1,1,39,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Fair
864,3,2,48,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
865,6,3,63,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
866,5,3,25,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Great
867,2,1,35,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
868,2,2,58,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Great
869,5,3,54,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Fair
870,4,3,57,Pants,Short shorts jene style,Levy,29,Blue,Female,Good
871,6,3,60,Jacket,Small brown phish shirt - 2004,Concert,S,Brown,Male,Great
872,5,2,16,Vest,light purple flowery dress,Lulus,4,Purple,Female,Good
873,1,3,49,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Poor
874,1,2,42,Sweatshirt,classic jenes,Levy,34,Blue,Male,Good
875,1,1,61,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Good
876,1,1,64,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Great
877,1,1,56,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Poor
878,5,2,22,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Great
879,2,2,36,Pants,Puffy winter coat,Volcom,L,Red,Male,Good
880,5,3,53,Jacket,classic vans,Vans,11,Red,Male,Fair
881,3,3,20,Vest,classic vans,Vans,10,Black,Male,Great
882,4,1,50,Shoes,stomper boots,black,8,Black,Female,Poor
883,3,1,45,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
884,5,3,29,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Fair
885,2,2,28,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Good
886,5,2,54,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
887,5,1,48,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Good
888,2,1,43,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Great
889,1,2,35,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
890,3,2,36,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
891,3,3,17,Shoes,Old cowboy boots,Tough,13,Brown,Male,Fair
892,3,3,40,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Poor
893,3,2,66,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Fair
894,1,3,31,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
895,2,2,29,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
896,6,2,67,Dress,Carhart logo hat,Carhart,M,Brown,Female,Great
897,3,2,27,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
898,3,2,50,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Great
899,4,3,57,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Fair
900,3,1,63,Shoes,Short shorts jene style,Levy,29,Blue,Female,Good
901,2,3,38,Sweatshirt,Small brown phish shirt - 2004,Concert,S,Brown,Male,Great
902,2,2,39,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Good
903,2,3,58,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Poor
904,6,2,30,Shirt,classic jenes,Levy,34,Blue,Male,Good
905,4,3,36,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Good
906,5,3,57,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Great
907,4,3,41,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Poor
908,5,1,15,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Great
909,4,3,15,Shoes,Puffy winter coat,Volcom,L,Red,Male,Good
910,1,1,50,Sweatshirt,classic vans,Vans,11,Red,Male,Fair
911,1,2,60,Shorts,classic vans,Vans,10,Black,Male,Great
912,4,2,26,Hat,stomper boots,black,8,Black,Female,Poor
913,3,1,68,Shirt,light twirly dress,Free People,4,Pink,Female,Good
914,3,1,59,Dress,Classic jene jacket,Levy,L,Blue,Female,Fair
915,2,2,50,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Good
916,6,3,66,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
917,5,3,65,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Good
918,4,2,46,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Poor
919,3,1,22,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Great
920,5,2,45,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Good
921,1,1,29,Hat,Old cowboy boots,Tough,13,Brown,Male,Fair
922,4,3,23,Shirt,High Heels Red,Vanity,6,Red,Female,Great
923,5,1,18,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Poor
924,6,3,40,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Good
925,1,3,55,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Fair
926,6,2,66,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Good
927,3,2,50,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Good
928,2,2,35,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Good
929,2,2,18,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Great
930,3,1,32,Hat,Short shorts jene style,Levy,29,Blue,Female,Good
931,5,3,43,Shirt,Small brown phish shirt - 2004,Concert,S,Brown,Male,Poor
932,4,3,27,Dress,light purple flowery dress,Lulus,4,Purple,Female,Great
933,1,2,68,Pants,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
934,2,2,56,Jacket,classic jenes,Levy,34,Blue,Male,Fair
935,6,1,69,Vest,Drapey paper bag pants,Madewell,6,Orange,Female,Great
936,5,3,48,Shoes,Solid dual pocket denim,Levy,M,Blue,Female,Poor
937,3,1,29,Sweatshirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
938,5,3,70,Shorts,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
939,1,2,26,Hat,Puffy winter coat,Volcom,L,Red,Male,Good
940,4,3,67,Shirt,classic vans,Vans,11,Red,Male,Good
941,6,1,60,Dress,classic vans,Vans,10,Black,Female,Good
942,1,3,17,Pants,stomper boots,black,8,Black,Female,Great
943,2,3,42,Jacket,light twirly dress,Free People,4,Pink,Female,Poor
944,2,3,52,Vest,Classic jene jacket,Levy,L,Blue,Unisex,Great
945,4,3,22,Shoes,grey sweatshirt plain,Champion,XL,Grey,Male,Good
946,1,2,21,Sweatshirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Fair
947,4,3,55,Shorts,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Great
948,1,3,63,Hat,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Poor
949,2,2,49,Shirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
950,3,1,20,Dress,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Fair
951,6,2,24,Pants,Old cowboy boots,Tough,13,Brown,Male,Good
952,3,3,21,Jacket,High Heels Red,Vanity,6,Red,Female,Good
953,3,3,42,Vest,Classic Levy Shirt,Levy,M,Grey,Female,Good
954,4,1,62,Shoes,Classic frat shorts,Vineyard Vines,31,Pink,Male,Great
955,5,3,28,Sweatshirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Good
956,6,2,57,Shorts,Carhart logo hat,Carhart,M,Brown,Unisex,Fair
957,1,2,47,Hat,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Fair
958,3,3,20,Shirt,Old trendy black high waisted,Levy,30,Black,Female,Poor
959,3,1,68,Dress,Australian beach sweatshirt,Champion,L,Grey,Female,Fair
960,3,3,18,Pants,Short shorts jene style,Levy,29,Blue,Female,Fair
961,5,3,44,Jacket,Small brown phish shirt - 2005,Concert,S,Brown,Male,Poor
962,4,3,16,Vest,light purple flowery dress,Lulus,4,Purple,Female,Great
963,6,1,66,Shoes,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
964,4,3,32,Sweatshirt,classic jenes,Levy,34,Blue,Male,Great
965,3,3,64,Shorts,Drapey paper bag pants,Madewell,6,Orange,Female,Poor
966,2,2,48,Hat,Solid dual pocket denim,Levy,M,Blue,Female,Great
967,2,3,29,Shirt,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
968,1,1,65,Dress,Wool vest with breast pocket,Patagonia,M,Blue,Female,Fair
969,3,3,61,Pants,Puffy winter coat,Volcom,L,Red,Male,Great
970,4,1,22,Jacket,classic vans,Vans,11,Red,Male,Poor
971,3,3,58,Vest,classic vans,Vans,10,Black,Male,Good
972,1,1,26,Shoes,stomper boots,black,8,Black,Female,Fair
973,1,3,29,Sweatshirt,light twirly dress,Free People,4,Pink,Female,Good
974,3,1,32,Shorts,Classic jene jacket,Levy,L,Blue,Unisex,Good
975,5,3,23,Hat,grey sweatshirt plain,Champion,XL,Grey,Male,Good
976,2,3,70,Shirt,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Great
977,4,1,32,Dress,Vintage Bondi Beach Shirt,Champion,L,Red,Female,Good
978,2,2,15,Pants,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Fair
979,4,3,26,Jacket,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Fair
980,2,3,28,Vest,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Poor
981,3,2,24,Shoes,Old cowboy boots,Tough,13,Brown,Male,Fair
982,5,3,64,Sweatshirt,High Heels Red,Vanity,6,Red,Female,Fair
983,2,2,16,Shorts,Classic Levy Shirt,Levy,M,Grey,Female,Poor
984,1,2,60,Hat,Classic frat shorts,Vineyard Vines,31,Pink,Male,Great
985,1,3,56,Shirt,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Good
986,4,2,24,Dress,Carhart logo hat,Carhart,M,Brown,Female,Great
987,1,2,41,Pants,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Fair
988,1,1,56,Jacket,Old trendy black high waisted,Levy,30,Black,Female,Good
989,2,3,35,Vest,Australian beach sweatshirt,Champion,L,Grey,Unisex,Great
990,2,1,50,Shoes,Short shorts jene style,Levy,29,Blue,Female,Good
991,5,1,65,Sweatshirt,Small brown phish shirt - 2005,Concert,S,Brown,Male,Poor
992,6,2,59,Shorts,light purple flowery dress,Lulus,4,Purple,Female,Good
993,6,1,30,Hat,Green shirt with blue namaste symbol,Enlight,L,Green,Unisex,Good
994,4,2,35,Shirt,classic jenes,Levy,34,Blue,Male,Great
995,5,2,66,Dress,Drapey paper bag pants,Madewell,6,Orange,Female,Poor
996,5,3,66,Pants,Solid dual pocket denim,Levy,M,Blue,Female,Great
997,3,2,40,Jacket,Wolf shirt with snow,HippyTree,L,Light Blue,Male,Good
998,2,3,56,Vest,Wool vest with breast pocket,Patagonia,M,Blue,Male,Fair
999,2,3,44,Shoes,Puffy winter coat,Volcom,L,Red,Male,Great
1000,5,1,30,Sweatshirt,classic vans,Vans,11,Red,Male,Poor
1001,2,2,63,Shorts,classic vans,Vans,10,Black,Male,Great
1002,3,3,49,Hat,stomper boots,black,8,Black,Female,Good
1003,2,1,66,Shirt,light twirly dress,Free People,4,Pink,Female,Fair
1004,5,2,52,Dress,Classic jene jacket,Levy,L,Blue,Female,Great
1005,4,1,55,Pants,grey sweatshirt plain,Champion,XL,Grey,Male,Poor
1006,6,2,30,Jacket,Old beatup steamboat shirt,Steamboat,XXL,White,Male,Good
1007,4,3,45,Vest,Vintage Bondi Beach Shirt,Champion,L,Red,Male,Fair
1008,5,2,23,Shoes,Vintage Old British Plaid Pants,Plaid,34,Red,Male,Good
1009,5,3,57,Sweatshirt,Light blue grey wolf by creek,Onix,L,Blue,Unisex,Good
1010,4,1,22,Shorts,Flower Knitted dress,Lovely Vintage,M,Yellow,Female,Good
1011,1,2,34,Hat,Old cowboy boots,Tough,13,Brown,Male,Great
1012,6,1,47,Shirt,High Heels Red,Vanity,6,Red,Female,Good
1013,3,1,37,Dress,Classic Levy Shirt,Levy,M,Grey,Female,Fair
1014,5,2,26,Pants,Classic frat shorts,Vineyard Vines,31,Pink,Male,Fair
1015,6,1,48,Jacket,Colorado Flag Shirt tight,Coloradical,S,Pink,Female,Poor
1016,3,3,48,Vest,Carhart logo hat,Carhart,M,Brown,Unisex,Fair
1017,4,3,50,Shoes,Vintage Mac Demarco Hat,Yiin,M,White,Unisex,Fair
1018,5,2,20,Sweatshirt,Old trendy black high waisted,Levy,30,Black,Female,Poor
1019,5,2,56,Shorts,Australian beach sweatshirt,Champion,L,Grey,Unisex,Great
1020,1,2,48,Hat,Short shorts jene style,Levy,29,Blue,Female,Good
1021,5,1,60,Shirt,Small brown phish shirt - 2005,Concert,S,Brown,Male,Great
1022,5,1,30,Dress,light purple flowery dress,Lulus,4,Purple,Female,Fair
